BBSD,XBOV,IVVB,BOVA,BRAX,SMAL,DIVO,FIND,GOVE,MATB,ISUS,PIBB,BLFT 0 03/01/23 Corp,BLTN 0 01/01/20 Corp,BLTN 10 01/01/23 Govt,BNTNF 10 01/01/27 Corp,BNTNB 6 08/15/24 Govt,BNTNB 6 08/15/26 Govt,BNTNB 6 05/15/35 Govt,BNTNB 6 05/15/45 Govt,BNTNB 6 08/15/50 Govt
0.130894172,0,0.277063418,0,0,0,0,0.138424881,0,0,0,0,0.009098933,0.239671614,0.071082243,0.0378594,0.09590534,0,0,0,0
0.214250639,0,0.274244745,0,0,0,0,0.092031094,0,0,0,0,0,0.221167512,0.065594263,0.034936425,0.097775322,0,0,0,0
0.262875848,0,0.228709716,0,0,0,0,0.094565219,0,0,0,0,0,0.238445584,0.070718625,0.037665732,0.067019276,0,0,0,0
0.235403648,0,0.262612411,0,0,0,0,0.103978085,0,0,0,0,0,0.22539101,0.066846875,0.035603583,0.070164388,0,0,0,0
0.241478623,0,0.282466641,0,0,0,0,0.098188871,0,0,0,0,0,0.20765894,0.061587866,0.032802561,0.075816498,0,0,0,0
0.236089226,0,0.248586605,0,0,0,0,0.130742841,0,0,0,0,0,0.203653119,0.060399812,0.032169787,0.08835861,0,0,0,0
0.295197949,0,0.244164154,0,0,0,0,0.102879116,0,0,0,0,0,0.197415809,0.058549939,0.031184519,0.070608514,0,0,0,0
0.23792268,0,0.289206499,0,0,0,0,0.135800212,0,0,0,0,0,0.162986044,0.048338697,0.025745868,0.1,0,0,0,0
0.227590327,0,0.297380244,0,0,0,0,0.147562208,0,0,0,0,0,0.183553907,0.054438752,0.028994843,0.060479719,0,0,0,0
0.225012643,0,0.263689661,0,0,0,0,0.179236803,0,0,0,0,0,0.163776306,0.048573075,0.025870701,0.09384081,0,0,0,0
0.292218442,0,0.323313943,0,0,0,0,0.108688672,0,0,0,0,0,0.136540519,0.040495435,0.021568437,0.077174552,0,0,0,0
0.268317336,0,0.280886447,0,0,0,0,0.159775717,0,0,0,0,0.009098933,0.138518655,0.041082114,0.02188091,0.080439888,0,0,0,0
0.242626633,0,0.31833879,0,0,0,0,0.164530831,0,0,0,0,0,0.153055879,0.045393591,0.024177263,0.051877013,0,0,0,0
0.364020292,0,0.366547097,0,0,0,0,0.269432611,0,0,0,0,0,0,0,0,0,0,0,0,0
0.353560157,0,0.353014335,0,0,0,0,0.293425509,0,0,0,0,0,0,0,0,0,0,0,0,0
0.298422783,0,0.370650936,0,0,0,0,0.330926282,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30709867,0,0.342112004,0,0,0,0,0.350789327,0,0,0,0,0,0,0,0,0,0,0,0,0
0.316816401,0,0.313653512,0,0,0,0,0.369530087,0,0,0,0,0,0,0,0,0,0,0,0,0
0.254708111,0,0.327988076,0,0,0,0,0.389654993,0,0.006596725,0,0.021052096,0,0,0,0,0,0,0,0,0
0.189155435,0,0.335179468,0,0,0,0,0.386588621,0,0.079390064,0,0.009686412,0,0,0,0,0,0,0,0,0
0.189676815,0,0.306116498,0,0,0,0,0.390423246,0,0.007040784,0,0.106742657,0,0,0,0,0,0,0,0,0
0.160446328,0,0.291978658,0,0,0,0,0.394413809,0,0.036051932,0,0.117109273,0,0,0,0,0,0,0,0,0
0.117109273,0,0.291978658,0,0,0,0,0.394413809,0,0.036051932,0,0.160446328,0,0,0,0,0,0,0,0,0
0.125687172,0,0.256464182,0,0,0,0,0.394112674,0,0.012000089,0,0.211735885,0,0,0,0,0,0,0,0,0
0.042605694,0,0.27466885,0,0,0,0,0.386229047,0,0.115244262,0,0.181252147,0,0,0,0,0,0,0,0,0
0.106903794,0,0.205595,0,0,0,0,0.392285952,0,0.126416183,0,0.16879907,0,0,0,0,0,0,0,0,0
0.025697194,0,0.225812858,0,0,0,0,0.394515767,0,0.107434255,0,0.246539925,0,0,0,0,0,0,0,0,0
0.016377354,0,0.197437748,0,0,0,0,0.395769824,0,0.102824397,0,0.287590678,0,0,0,0,0,0,0,0,0
0.061734211,0,0.143235991,0,0,0,0,0.392487644,0,0.200202746,0,0.202339408,0,0,0,0,0,0,0,0,0
6.09E-07,0,0.147895869,0,0,0,0,0.385516044,0,0.198544627,0,0.268042851,0,0,0,0,0,0,0,0,0
0.016377354,0,0.102824397,0,0,0,0,0.395769824,0,0.197437748,0,0.287590678,0,0,0,0,0,0,0,0,0
2.56E-05,0,0.082483823,0,0,0,0,0.383238935,0,0.15781228,0,0.37643937,0,0,0,0,0,0,0,0,0
0,0,0.053026148,0,0,0,0,0.374941807,0,0.270970435,0,0.30106161,0,0,0,0,0,0,0,0,0
0,0,0.031910014,0,0,0,0,0.4,0,0.173862889,0,0.394227097,0,0,0,0,0,0,0,0,0
0.002271212,0,0,0,0,0,0,0.39977138,0,0.222677172,0,0.375280236,0,0,0,0,0,0,0,0,0
